Date,Symbol,Open,High,Low,Close,Volume,MarketCap
2024-05-01,AAPL,170.50,173.20,169.80,172.40,55000000,2650000000000
2024-05-01,MSFT,390.10,395.00,388.50,394.20,24000000,2930000000000
2024-05-01,GOOGL,165.30,168.10,164.50,167.80,28000000,2100000000000
2024-05-01,AMZN,178.20,181.50,177.00,180.30,42000000,1870000000000
2024-05-01,NVDA,840.00,855.50,830.20,850.10,35000000,2100000000000
2024-05-02,AAPL,172.40,175.50,171.20,174.10,58000000,2680000000000
2024-05-02,MSFT,394.20,398.50,392.00,397.80,26000000,2960000000000
2024-05-02,GOOGL,167.80,170.50,166.20,169.40,30000000,2130000000000
2024-05-02,AMZN,180.30,184.20,179.50,183.10,45000000,1900000000000
2024-05-02,NVDA,850.10,870.00,845.50,865.30,38000000,2140000000000
2024-05-03,AAPL,174.10,176.80,173.50,175.90,52000000,2710000000000
2024-05-03,MSFT,397.80,402.10,396.50,401.50,23000000,2990000000000
2024-05-03,GOOGL,169.40,172.00,168.50,171.20,27000000,2150000000000
2024-05-03,AMZN,183.10,186.50,182.00,185.40,41000000,1920000000000
2024-05-03,NVDA,865.30,890.20,860.00,885.50,42000000,2190000000000
